id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
864,200,6.6759,47.5676,1,7.1253,0,0,70.6509,47.5676,0.0248,0
864,400,2.8979,27.0538,5,9.3355,140.0325,87.0056,70.9678,24.7875,0.0953,0.3246
864,600,4.969,25,6,5.0312,101.7364,83.7802,61.435,11.1323,0.0407,0.684
864,800,4.8552,25.6,11,5.2727,153.2458,85.8198,57.8267,6.3636,0.0555,0.5733
864,1000,5.1363,26.9998,17,5.2566,108.5088,86.1683,56.4658,8.2571,0.0618,0.5349
864,1200,7.5024,30.6926,19,4.091,101.6622,87.3604,55.5691,10.2091,0.0621,0.5343
864,1400,7.0149,35.612,32,5.0766,101.5414,89.4302,53.3087,13.5516,0.0683,0.493
864,1600,9.9,41.0491,34,4.1464,101.7337,91.0641,52.1642,16.3475,0.057,0.5689
864,1800,11.9064,43.7083,38,3.671,93.1775,91.7693,53.6419,17.1858,0.0616,0.5368
864,2000,11.1454,41.9039,48,3.7597,98.0248,91.4251,54.193600000000004,16.4419,0.0681,0.492
