id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
878,200,3.7404,25.8824,1,6.9196,0,0,80.7004,25.8824,0.0374,0
878,400,1.5727,11.617,4,7.3867,116.0993,67.6923,53.8425,9.7331,0.1031,0.2488
878,600,2.1571,14.4381,8,6.6932,196.1345,71.618,58.0573,6.4011,0.0707,0.4457
878,800,1.6671,14.414,18,8.646,109.287,68.4132,67.363,4.1241,0.0838,0.3413
878,1000,1.8148,12.8669,23,7.09,108.2197,71.7182,53.3879,3.957,0.0842,0.3365
878,1200,1.7873000000000001,15.4142,40,8.6241,96.7198,73.0296,55.696,4.4905,0.0857,0.3336
878,1400,2.5141,18.7584,47,7.4612,108.4197,79.1867,54.2005,5.1417,0.0915,0.2973
878,1600,3.2776,21.5327,54,6.5696,103.2804,81.5079,55.0522,13.6829,0.0878,0.3199
878,1800,3.4263,22.8044,69,6.6558,96.2279,83.0279,54.3926,14.6863,0.0908,0.3009
878,2000,3.1715,22.5791,91,7.1193,95.8162,82.6765,55.703,14.1527,0.0918,0.2935
