id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
896,200,1.0695,15.2866,2,14.2928,107.6411,92.1053,51.2042,14.6497,0.083,0.3587
896,400,3.2086,23.6066,4,7.3573,104.4899,86.3636,54.3624,10.4918,0.0459,0.6099
896,600,6.0607,30.1329,6,4.9719,132.5726,86.3226,58.8778,16.2482,0.0532,0.565
896,800,6.7341,29.1345,9,4.3264,125.4386,89.365,46.4984,19.623,0.0668,0.4559
896,1000,7.2575,31.2586,14,4.307,155.7163,90.3707,42.6163,23.1149,0.0631,0.4804
896,1200,7.1181,33.5754,22,4.7169,108.0995,89.6501,46.7908,25.0908,0.0699,0.4497
896,1400,8.1014,37.3477,29,4.61,125.0824,90.7332,46.7464,25.7155,0.0654,0.4779
896,1600,11.6481,41.1643,29,3.534,122.7361,91.765,46.4586,27.4139,0.0605,0.5178
896,1800,14.4789,43.2015,31,2.9837,114.5659,92.5076,43.9641,28.6352,0.0595,0.5223
896,2000,15.0415,44.7335,38,2.974,118.2994,92.9096,43.0149,31.3477,0.0624,0.5009
