id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
899,200,14.7858,100,1,6.7632,0,0,0,100,0.0111,0
899,400,50.8048,92.0561,1,1.812,0,0,13.2815,92.0561,0.0066,0
899,600,33.4114,84.6154,3,2.5325,121.2184,98.7627,19.5533,83.5269,0.0618,0.5256
899,800,30.8611,74.1736,5,2.4035,107.8093,97.0613,33.9659,72.1488,0.0673,0.4675
899,1000,13.9508,60.2173,14,4.3164,96.3785,95.6385,43.933,54.8635,0.0893,0.3076
899,1200,11.1753,50.4435,21,4.5138,96.0198,94.267,46.7614,43.2373,0.0868,0.3298
899,1400,8.7146,44.1601,32,5.0674,103.4201,92.9244,47.0791,35.7337,0.0865,0.3349
899,1600,9.6157,40.969,35,4.2606,97.84,91.8094,49.8254,29.4998,0.0786,0.383
899,1800,7.9403,37.6226,49,4.7382,91.2746,90.905,50.6924,24.0648,0.0868,0.3238
899,2000,7.8274,33.7216,55,4.3081,89.2227,90.1661,49.5147,19.6889,0.0838,0.345
