id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
926,200,11.0733,78.8945,1,7.1247,0,0,73.7942,78.8945,0.0201,0
926,400,48.3842,89.2068,1,1.8437,0,0,47.0062,89.2068,0.0119,0
926,600,36.1353,91.5971,3,2.5348,59.3847,97.3623,34.7817,91.4184,0.0904,0.3699
926,800,37.9033,90.7157,5,2.3933,59.3847,97.8558,27.4587,89.8717,0.094,0.3472
926,1000,42.117,91.2863,7,2.1674,66.1268,97.9465,26.7253,90.915,0.1056,0.2655
926,1200,42.4596,91.545,10,2.1561,65.3101,97.9468,26.6257,90.9519,0.1017,0.2791
926,1400,72.3999,92.2386,8,1.274,67.8201,98.0852,25.2915,92.0364,0.1111,0.233
926,1600,63.1662,92.3917,12,1.4627,66.2056,98.0598,25.6055,92.0392,0.1015,0.2858
926,1800,68.2285,92.4185,14,1.3545,75.7174,98.1157,24.9759,92.0841,0.1024,0.2808
926,2000,61.6291,91.6883,19,1.4877,65.3486,97.9907,27.6785,91.2796,0.1025,0.2793
