id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
933,200,13.7197,100,1,7.2888,0,0,0,100,0.0112,0
933,400,52.9562,97.8998,1,1.8487,0,0,15.3019,97.8998,0.0074,0
933,600,116.923,97.6642,1,0.8353,0,0,16.2968,97.6642,0.0055,0
933,800,202.9986,97.156,1,0.4786,0,0,19.6659,97.156,0.0049,0
933,1000,153.9749,95.3721,2,0.6194,66.1008,97.3445,32.4091,95.3451,0.0705,0.4763
933,1200,443.3113,95.3392,1,0.2151,0,0,32.5503,95.3392,0.0055,0
933,1400,298.4683,94.5729,2,0.3169,59.1224,97.3251,33.7673,94.559,0.0703,0.4787
933,1600,382.0534,92.9619,2,0.2433,59.1224,96.9017,38.1942,92.9407,0.0704,0.5189
933,1800,238.8707,92.2623,4,0.3862,59.1224,96.5186,42.4172,92.2285,0.103,0.2588
933,2000,391.928,92.0882,3,0.235,59.1224,96.3453,44.8696,92.0676,0.0922,0.3448
