id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
948,200,13.3771,98.0645,1,7.3308,0,0,19.5728,98.0645,0.0129,0
948,400,50.8681,93.6791,1,1.8416,0,0,42.6138,93.6791,0.0108,0
948,600,111.857,93.87,1,0.8392,0,0,40.5798,93.87,0.0084,0
948,800,192.8236,92.1362,1,0.4778,0,0,49.8967,92.1362,0.0085,0
948,1000,72.5619,89.6927,4,1.2361,67.2268,95.7568,52.071,89.5567,0.0862,0.3175
948,1200,136.2643,87.857,3,0.6448,59.332,94.9525,58.4657,87.8003,0.0815,0.3656
948,1400,138.3692,87.7494,4,0.6342,65.476,94.9915,58.3211,87.6936,0.0948,0.2748
948,1600,142.7651,86.916,5,0.6088,59.332,94.832,60.2146,86.7124,0.0866,0.3244
948,1800,109.5248,84.552,8,0.772,65.6664,94.308,65.4706,84.4331,0.1081,0.2008
948,2000,70.0771,82.225,15,1.1733,69.413,93.9372,68.0856,81.6398,0.1008,0.2353
