id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
953,200,0,77.0816,0,0,0,0,0,0,0,0
953,400,0.2137,0.804,2,3.763,485.9024,60,7.3924,0.603,0.1154,0.2361
953,600,0.206,1.2206,7,5.9243,220.4362,53.4884,9.9758,0.4069,0.1209,0.2579
953,800,0.7612,2.9298,8,3.849,189.6303,72.3301,17.347,1.6448,0.1041,0.3427
953,1000,0.7545,3.7467,16,4.9657,178.5899,68.4086,21.0886,1.0942,0.103,0.353
953,1200,0.9279,5.4301,27,5.8523,123.0509,73.8255,25.8994,2.3735,0.1043,0.339
953,1400,1.2788,6.7211,33,5.256,120.0792,73.9987,31.6206,3.1819,0.1026,0.3518
953,1600,1.2998,7.1508,45,5.5014,127.579,75.789,31.7874,3.4807,0.1067,0.3333
953,1800,1.112,7.1111,66,6.3946,115.6816,74.0741,33.0743,3.2088,0.1092,0.3158
953,2000,1.001,6.9167,88,6.9101,109.2583,73.041,33.52,2.6131,0.1115,0.3038
