id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
968,200,0.6944,5.0388,1,7.2561,0,0,28.5096,5.0388,0.0666,0
968,400,0.73,4.0877,3,5.5994,197.3805,73.913,26.3143,2.2931,0.0801,0.4852
968,600,0.5502,4.667,10,8.4825,152.4833,68.1081,28.0347,1.5859,0.0965,0.3794
968,800,0.7336,5.3093,15,7.2374,118.697,68.6684,31.7816,1.6495,0.1035,0.3486
968,1000,0.6276,4.6642,24,7.4313,127.6722,68.6792,28.4109,1.0916,0.1106,0.3099
968,1200,0.5147,3.6738,33,7.1371,130.0184,66,23.7931,0.7625,0.1124,0.2977
968,1400,0.5291,3.5434,42,6.6974,130.2305,65.866,21.818,0.5622,0.109,0.315
968,1600,0.591,3.3989,47,5.7512,137.5323,67.1026,20.7585,0.5033,0.1083,0.3186
968,1800,0.7158,3.81,55,5.3228,133.2633,70.1198,20.7122,0.8943,0.1092,0.3132
968,2000,0.8369,5.1269,78,6.1264,124.4922,70.7245,25.8861,1.3845,0.1112,0.3036
