id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
979,200,5.672,39.7516,1,7.0084,0,0,66.7645,39.7516,0.0241,0
979,400,7.09,13.0293,1,1.8377,0,0,27.3541,13.0293,0.021,0
979,600,7.09,5.9835,1,0.8439,0,0,12.562,5.9835,0.021,0
979,800,7.09,3.3812,1,0.4769,0,0,7.0987,3.3812,0.021,0
979,1000,7.09,2.1804,1,0.3075,0,0,4.5777,2.1804,0.021,0
979,1200,7.09,1.5253,1,0.2151,0,0,3.2022,1.5253,0.021,0
979,1400,3.5893,1.1391,2,0.3174,1132.8247,93.75,2.5036,1.125,0.0777,0.4115
979,1600,1.8611,0.9068,4,0.4872,653.4406,91.2752,2.3209,0.8637,0.0976,0.2474
979,1800,1.8611,0.7181,4,0.3858,653.4406,91.2752,1.8378,0.6839,0.0976,0.2474
979,2000,1.4475,0.6792,6,0.4692,507.8699,86.9318,1.8857,0.5544,0.0952,0.2654
