id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
993,200,11.24,81.4103,1,7.2429,0,0,107.7366,81.4103,0.0249,0
993,400,46.1992,85.0163,1,1.8402,0,0,79.3812,85.0163,0.0157,0
993,600,51.6422,86.5085,2,1.6752,66.5223,93.9514,70.5168,86.4344,0.0731,0.4518
993,800,175.7694,84.2597,1,0.4794,0,0,75.7274,84.2597,0.0122,0
993,1000,66.3782,81.9001,4,1.2338,74.3742,93.6842,72.495,81.5452,0.0717,0.4228
993,1200,29.6268,76.3108,12,2.5757,67.5437,92.083,82.3105,75.5319,0.0973,0.2455
993,1400,22.4969,74.9614,21,3.3321,64.2602,91.6706,83.5035,73.866,0.1019,0.2177
993,1600,27.9955,75.135,22,2.6838,65.5765,91.3025,86.0851,74.1417,0.1045,0.1996
993,1800,27.3875,76.5765,29,2.796,64.8361,91.6488,84.3573,75.5611,0.106,0.1909
993,2000,38.1215,77.4535,26,2.0318,66.7488,92.022,82.599,76.7135,0.1059,0.1915
