id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
999,200,14.4051,100,1,6.942,0,0,0,100,0.0112,0
999,400,54.1309,100,1,1.8474,0,0,0,100,0.0059,0
999,600,118.9986,100,1,0.8403,0,0,0,100,0.004,0
999,800,208.2922,99.3174,1,0.4768,0,0,3.8509,99.3174,0.0034,0
999,1000,319.6856,98.7835,1,0.309,0,0,8.0413,98.7835,0.0032,0
999,1200,459.2629,98.9017,1,0.2153,0,0,6.6992,98.9017,0.0028,0
999,1400,624.6082,99.1478,1,0.1587,0,0,5.3179,99.1478,0.0023,0
999,1600,812.1428,98.975,1,0.1219,0,0,5.6867,98.975,0.0021,0
999,1800,1025.8929,98.8875,1,0.0964,0,0,5.2764,98.8875,0.0019,0
999,2000,1265.59,98.9507,1,0.0782,0,0,4.9112,98.9507,0.0017,0
