id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1010,200,14.3511,100,1,6.9681,0,0,0,100,0.0112,0
1010,400,50.719,93.2787,1,1.8391,0,0,15.9235,93.2787,0.0068,0
1010,600,52.9028,89.0473,2,1.6832,84.445,98.4816,16.0813,88.147,0.0278,0.7615
1010,800,88.6913,84.322,2,0.9507,84.445,98.4833,23.5596,83.4746,0.0241,0.8052
1010,1000,77.5789,71.6717,3,0.9239,96.1044,97.4995,31.8118,69.8326,0.0258,0.7882
1010,1200,95.9114,62.0173,3,0.6466,96.1044,97.1933,30.4377,59.5005,0.0225,0.815
1010,1400,51.05,56.5923,7,1.1086,133.944,96.515,30.1657,53.7267,0.0552,0.5736
1010,1600,29.6054,54.0875,15,1.8269,101.0656,96.1413,30.4361,49.5495,0.0588,0.5291
1010,1800,39.9334,53.8924,14,1.3496,101.7372,95.8821,30.4781,47.0098,0.047,0.62
1010,2000,46.5652,54.6405,15,1.1734,120.9322,95.8177,31.8104,44.6691,0.0412,0.6645
