id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1014,200,12.2118,88.961,1,7.2849,0,0,23.9245,88.961,0.0127,0
1014,400,37.8832,69.7865,1,1.8421,0,0,43.4491,69.7865,0.0107,0
1014,600,65.7831,55.0336,1,0.8366,0,0,41.7118,55.0336,0.0104,0
1014,800,97.605,46.7549,1,0.479,0,0,38.9003,46.7549,0.0102,0
1014,1000,33.8498,41.7537,4,1.2335,203.9437,93.6486,39.9575,39.0599,0.0359,0.6958
1014,1200,37.0275,39.8045,5,1.075,143.6751,93.5254,37.5511,35.3009,0.0597,0.5525
1014,1400,42.6223,40.6259,6,0.9532,111.5846,93.4991,37.6586,36.2645,0.0314,0.7394
1014,1600,84.123,41.0059,4,0.4875,100.5554,94.0487,34.564,40.8864,0.0611,0.4835
1014,1800,106.9644,41.2159,4,0.3853,164.2557,94.9371,29.6232,41.0785,0.0524,0.5396
1014,2000,75.499,41.3574,7,0.5478,179.0748,95.2239,28.0599,41.0017,0.0601,0.4804
