id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1031,200,7.1149,51.6129,1,7.2542,0,0,108.1679,51.6129,0.0268,0
1031,400,2.1878,20.2303,5,9.2467,70.2176,83.8565,63.4241,19.0789,0.1028,0.2207
1031,600,1.6676,11.236,8,6.738,67.1327,76,44.7094,8.6891,0.0991,0.2791
1031,800,1.3067,8.0898,13,6.1911,163.0785,72.5989,33.9439,4.9132,0.0959,0.2872
1031,1000,1.8174,12.8767,23,7.0852,105.2565,73.5491,42.7189,3.1781,0.087,0.3323
1031,1200,1.7787,16.0183,42,9.0055,97.1561,75.4007,54.5439,3.3371,0.0973,0.2543
1031,1400,1.8992,18.6716,62,9.8311,90.3099,74.6019,63.4134,5.1333,0.0936,0.276
1031,1600,2.1908,21.1017,79,9.6321,83.3535,77.4652,64.2497,7.1243,0.0955,0.2638
1031,1800,2.2683,22.5165,103,9.9265,83.2853,78.5479,65.0695,8.2369,0.0974,0.248
1031,2000,2.4924,23.6043,121,9.4704,83.3611,79.5649,65.5189,8.6036,0.0953,0.2641
