id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1050,200,1.3563,38.8535,4,28.6471,65.8208,77.3585,147.3701,35.6688,0.099,0.2398
1050,400,1.0355,26.7213,14,25.8058,71.9412,74,100.5961,18.3607,0.0972,0.2334
1050,600,1.1446,21.845,23,19.0857,92.3495,71.6338,87.3565,10.7749,0.1009,0.2099
1050,800,1.8642,23.3006,26,12.4986,92.4316,76.2224,77.2714,11.4151,0.0948,0.2573
1050,1000,2.1161,18.8731,29,8.9189,90.5537,76.0362,65.4865,11.953,0.0973,0.2364
1050,1200,2.132,16.4758,36,7.7278,96.4242,76.3647,55.6947,10.672,0.097,0.2342
1050,1400,1.852,14.9746,51,8.0858,104.8697,74.2954,54.6574,8.6153,0.0993,0.2211
1050,1600,1.6009,13.2755,68,8.2927,103.843,71.6148,53.0257,6.7028,0.1006,0.2141
1050,1800,1.6575,12.2902,77,7.4151,101.615,71.403,49.0229,5.2929,0.0971,0.2405
1050,2000,1.5709,12.4217,101,7.9073,103.3036,72.1217,47.1858,4.303,0.0991,0.2267
