id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1066,200,6.0402,86,2,14.238,53.0036,98.1073,56.5999,85,0.0633,0.5314
1066,400,4.485,58.8158,7,13.1139,61.4693,90.7168,100.7875,55.7895,0.0948,0.326
1066,600,4.4056,41.0714,11,9.3225,81.0774,86.737,99.0498,35.4762,0.0897,0.3546
1066,800,3.0513,26.3477,18,8.6349,83.3842,84.748,70.432,22.5741,0.0979,0.2941
1066,1000,2.2981,17.8058,25,7.7481,94.9368,83.2066,52.8956,14.8455,0.1065,0.2491
1066,1200,1.6856,13.0632,36,7.7497,109.0537,80.6471,43.1873,10.3115,0.1086,0.2355
1066,1400,1.6906,11.2961,42,6.6815,128.0422,79.4178,38.1127,7.6201,0.1033,0.2708
1066,1600,1.3243,10.0103,62,7.5591,122.7505,76.3773,38.3859,5.84,0.1054,0.2577
1066,1800,1.1806,10.1506,89,8.5981,110.3041,74.0906,40.7083,4.6275,0.1032,0.2735
1066,2000,1.4162,11.5448,104,8.1521,104.9084,77.1087,40.384,3.7547,0.1024,0.2826
