id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1077,200,13.8453,99.3631,1,7.1767,0,0,6.4141,99.3631,0.0116,0
1077,400,21.9661,80.7504,2,3.6761,66.6153,96.8254,45.997,80.261,0.0496,0.5688
1077,600,22.5134,56.5379,3,2.5113,102.5272,94.6112,56.3604,50.8172,0.0244,0.7921
1077,800,31.2703,44.9405,3,1.4372,102.5272,93.9941,43.9566,34.1837,0.0158,0.866
1077,1000,33.3707,41.1266,4,1.2324,152.2356,94.0956,37.3577,26.6885,0.0219,0.816
1077,1200,43.0669,36.9503,4,0.858,152.2356,94.3053,33.6116,20.5597,0.0197,0.8359
1077,1400,34.6724,33.0606,6,0.9535,152.1907,94.1189,31.1523,15.7123,0.0421,0.6691
1077,1600,21.5022,28.8482,11,1.3416,91.3737,94.049,27.7241,12.2537,0.0671,0.4744
1077,1800,25.2701,26.7898,11,1.0601,158.2568,93.2705,26.5871,10.7604,0.0707,0.4556
1077,2000,31.4908,27.0966,11,0.8605,158.2568,93.7508,24.3991,9.9833,0.0648,0.5033
