id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1080,200,14.9103,100,1,6.7068,0,0,0,100,0.0112,0
1080,400,53.7837,100,1,1.8593,0,0,0,100,0.006,0
1080,600,118.4839,99.7758,1,0.8421,0,0,1.2544,99.7758,0.0041,0
1080,800,207.6796,98.9429,1,0.4764,0,0,3.9741,98.9429,0.0035,0
1080,1000,310.9868,96,1,0.3087,0,0,6.8973,96,0.0028,0
1080,1200,102.2201,88.2905,4,0.8637,67.5107,99.1187,16.4682,88.2139,0.1015,0.2644
1080,1400,36.2449,74.722,13,2.0616,78.2782,98.4626,23.5748,74.0887,0.1048,0.2082
1080,1600,30.7238,63.4912,17,2.0665,106.9476,97.865,25.9655,62.121,0.1011,0.2357
1080,1800,21.8432,54.7297,26,2.5056,90.7717,96.9615,28.7954,51.6507,0.0929,0.2995
1080,2000,17.1367,46.9762,35,2.7413,86.9556,95.9029,31.6629,42.159,0.0928,0.3015
