id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1251,200,12.2338,86.25,1,7.0502,0,0,96.56,86.25,0.0234,0
1251,400,47.8713,87.9479,1,1.8372,0,0,76.0336,87.9479,0.0147,0
1251,600,46.4529,77.9182,2,1.6774,84.2143,91.6297,94.1409,77.8439,0.0746,0.4394
1251,800,22.4729,64.5038,6,2.8703,106.9485,89.9798,91.7279,63.698,0.0845,0.3285
1251,1000,15.2405,56.2739,12,3.6924,86.7428,88.1784,94.3635,53.7098,0.0911,0.2986
1251,1200,8.9796,46.3931,24,5.1665,86.7806,86.7311,89.7338,43.2252,0.0956,0.2647
1251,1400,6.2237,38.4659,39,6.1805,92.0745,84.6211,84.4606,33.2537,0.0924,0.2838
1251,1600,5.406,34.2071,52,6.3276,88.2442,83.7374,78.5849,27.2384,0.0928,0.2858
1251,1800,4.8503,30.8606,66,6.3627,90.4912,82.9742,73.5673,26.0405,0.093,0.2818
1251,2000,4.6497,29.0884,80,6.2559,97.2178,82.5466,70.7578,23.7712,0.094,0.276
