id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1267,200,1.4436,30.814,3,21.3456,82.4861,87.9121,101.695,28.4884,0.0873,0.3314
1267,400,0.8534,14.1566,9,16.5879,106.6424,67.2619,69.0178,7.3795,0.1007,0.2405
1267,600,1.1284,19.9587,21,17.6876,73.0909,65.5046,95.8242,6.4694,0.0949,0.2744
1267,800,1.3074,20.6089,33,15.7634,83.006,66.1386,99.542,5.4645,0.0897,0.32
1267,1000,1.3858,20.8951,49,15.0784,81.6599,68.9526,92.4496,5.8587,0.0927,0.2914
1267,1200,1.6283,24.1822,69,14.8511,79.2671,70.6916,96.9633,5.4168,0.0872,0.3304
1267,1400,2.2722,28.1177,78,12.3746,76.3428,75.2121,97.276,4.7705,0.0895,0.3208
1267,1600,2.889,31.6711,90,10.9628,80.446,78.2275,96.6239,4.3794,0.0889,0.3274
1267,1800,3.2045,32.9346,106,10.2776,85.42,79.7679,93.2087,9.3012,0.0936,0.2941
1267,2000,3.4379,34.064,123,9.9085,81.6182,81.1092,90.29,14.0205,0.092,0.3067
