id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1393,200,15.0045,100,1,6.6647,0,0,0,100,0.0112,0
1393,400,24.4717,91.7923,2,3.751,94.5054,97.8074,24.1011,87.9397,0.0267,0.7747
1393,600,54.838,92.054,2,1.6787,89.6557,97.4423,29.096800000000002,80.7346,0.0106,0.9103
1393,800,61.3876,87.6328,3,1.4275,74.4355,96.3551,38.6803,67.4033,0.0174,0.854
1393,1000,145.4904,89.5301,2,0.6154,89.6557,96.5943,37.8842,59.5768,0.0073,0.939
1393,1200,207.6967,89.4767,2,0.4308,89.6557,96.8794,37.3366,56.2909,0.0064,0.9471
1393,1400,110.8192,87.7138,5,0.7915,67.1585,96.751,38.1307,56.2279,0.0672,0.4571
1393,1600,71.084,86.605,10,1.2183,81.3956,96.5309,39.6511,56.7138,0.0782,0.3684
1393,1800,59.5478,86.2453,15,1.4483,69.5003,96.0507,45.1018,56.6833,0.089,0.3017
1393,2000,47.5338,85.4998,23,1.7987,65.6531,95.4204,51.6516,56.0383,0.0949,0.2576
