id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1497,200,10.5474,75.7962,1,7.1863,0,0,111.2513,75.7962,0.0243,0
1497,400,8.7304,64.4845,4,7.3862,61.2997,86.3636,120.3939,59.9018,0.0788,0.3853
1497,600,8.819,58.5725,8,6.6416,65.0211,89.5114,87.0011,52.0235,0.0901,0.2962
1497,800,9.8014,56.7336,12,5.7883,89.0959,89.4614,81.7116,54.1257,0.0913,0.2891
1497,1000,6.5051,56.1016,28,8.6243,89.0519,90.6693,71.8003,50.6689,0.1006,0.2192
1497,1200,6.9996,54.1009,36,7.7292,78.1918,90.1058,74.9129,45.3283,0.1048,0.204
1497,1400,7.1576,51.1039,45,7.1398,84.3068,89.1983,77.0887,39.3334,0.0978,0.2414
1497,1600,6.779,49.6538,60,7.3247,79.3689,87.5249,84.355,33.4343,0.0982,0.2411
1497,1800,6.4202,48.2576,78,7.5165,81.6184,86.4203,89.7399,29.2962,0.1062,0.1892
1497,2000,6.0846,46.1245,97,7.5805,82.3561,86.1107,87.853,25.4,0.1065,0.1875
