id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1498,200,14.4472,100,1,6.9217,0,0,0,100,0.0111,0
1498,400,53.5345,98.3713,1,1.8375,0,0,8.2059,98.3713,0.0062,0
1498,600,105.2964,88.6567,1,0.842,0,0,17.296,88.6567,0.0055,0
1498,800,43.0315,82.0448,4,1.9066,86.9564,97.9183,24.6918,81.2421,0.0784,0.3983
1498,1000,27.5256,76.4288,9,2.7766,62.6663,96.6448,41.2404,74.3232,0.095,0.2672
1498,1200,13.8576,68.5867,23,4.9494,72.2435,94.9802,49.6505,63.9138,0.0967,0.2537
1498,1400,9.3107,62.0011,42,6.6591,78.2051,94.0168,54.4718,55.4244,0.1008,0.2234
1498,1600,9.7532,59.2632,50,6.0763,84.3474,91.976,65.5578,49.7523,0.0964,0.2585
1498,1800,8.866,57.2674,67,6.4592,82.0841,90.6495,73.0453,44.7236,0.097,0.2554
1498,2000,8.8327,56.0205,81,6.3424,81.9499,90.1153,76.065,39.51,0.1027,0.2175
