id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1511,200,14.119,99.3789,1,7.0387,0,0,6.2727,99.3789,0.0118,0
1511,400,49.4164,91.2052,1,1.8456,0,0,23.0271,91.2052,0.0076,0
1511,600,91.9498,77.1281,1,0.8388,0,0,20.6815,77.1281,0.0059,0
1511,800,73.8157,70.5015,2,0.9551,89.1174,98.7132,16.1721,70.0379,0.0268,0.7681
1511,1000,74.6246,68.9402,3,0.9238,115.4255,98.4516,15.6425,67.6087,0.0358,0.724
1511,1200,324.1185,69.6303,1,0.2148,0,0,14.6779,69.6303,0.0041,0
1511,1400,210.1079,66.527,2,0.3166,84.0207,98.082,20.8809,66.3593,0.0274,0.7596
1511,1600,126.3427,61.574,4,0.4874,156.8034,97.381,25.6973,61.273,0.0454,0.6138
1511,1800,118.8993,57.3606,5,0.4824,112.0976,96.7916,27.8881,55.9472,0.0297,0.7476
1511,2000,70.3389,55.075,10,0.783,166.8634,96.4918,28.3533,51.2817,0.0509,0.5769
