id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1532,200,12.7197,88.8199,1,6.9829,0,0,64.5604,88.8199,0.0155,0
1532,400,10.4515,76.7974,4,7.348,61.4087,87.9464,123.819,75.4902,0.0839,0.342
1532,600,7.973,73.5821,11,9.2289,67.8062,87.4804,126.1119,70.3731,0.0927,0.2795
1532,800,8.5495,69.5615,17,8.1363,71.1431,89.2375,101.9167,67.2627,0.1006,0.223
1532,1000,10.0835,68.4601,22,6.7893,81.3122,89.3208,97.8373,65.6053,0.1008,0.2262
1532,1200,11.1983,69.7821,29,6.2315,72.0644,89.4165,96.3852,65.5199,0.1013,0.2186
1532,1400,15.3703,73.1171,30,4.757,74.4309,90.493,90.7999,70.0564,0.1013,0.215
1532,1600,18.4501,74.2005,33,4.0217,74.1113,91.2304,86.723,73.084,0.1061,0.1851
1532,1800,18.4526,74.6935,42,4.0479,72.0256,91.5018,84.7657,73.5276,0.108,0.1696
1532,2000,16.0289,74.0184,59,4.6178,74.9355,91.6132,83.3575,72.9671,0.1113,0.1449
