id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1544,200,13.7116,95.4023,1,6.9578,0,0,15.9975,95.4023,0.0122,0
1544,400,47.3297,87.3476,1,1.8455,0,0,26.5202,87.3476,0.0086,0
1544,600,98.1286,82.1009,1,0.8367,0,0,44.2446,82.1009,0.009,0
1544,800,81.4434,77.7603,2,0.9548,81.2895,94.9416,57.625,77.7208,0.0746,0.46
1544,1000,83.8663,77.4276,3,0.9232,77.3847,94.9172,55.1016,77.3767,0.0959,0.3082
1544,1200,45.4505,78.0773,8,1.7179,60.0246,94.7526,55.296,77.155,0.0862,0.3567
1544,1400,55.9751,79.924,9,1.4278,60.4958,95.0419,53.8036,78.0107,0.09,0.3342
1544,1600,54.0891,79.0782,12,1.462,68.4464,95.2697,52.5927,77.2869,0.0922,0.302
1544,1800,46.6446,76.4453,17,1.6389,68.3528,95.2536,51.923,73.9927,0.0964,0.2816
1544,2000,43.5489,74.958,22,1.7212,78.744,95.1397,50.548,70.6475,0.0967,0.2802
