id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1550,200,0.8429,11.9565,2,14.1854,61.8971,73.5294,62.8271,7.6087,0.0626,0.5164
1550,400,0.8976,11.6312,7,12.958,96.8809,68.2759,60.9779,5.1064,0.0912,0.3411
1550,600,1.1056,13.1084,14,11.8565,133.389,76.2667,46.6515,4.9319,0.0924,0.3271
1550,800,1.3618,14.3803,22,10.5595,122.171,78.3019,49.8238,6.142,0.0924,0.3261
1550,1000,1.409,15.6464,36,11.1043,114.1152,78.066,49.3514,6.216,0.0997,0.2817
1550,1200,1.7467,18.4202,49,10.5455,99.5368,80.0185,55.7611,6.7447,0.0937,0.3149
1550,1400,2.1865,19.4617,56,8.9007,99.273,80.4557,56.9316,6.2234,0.0925,0.327
1550,1600,2.4378,20.817,70,8.5394,95.37,80.936,57.6767,4.7859,0.0949,0.3117
1550,1800,2.9418,22.4086,79,7.6173,105.6722,82.9387,56.4771,6.5903,0.0942,0.3135
1550,2000,3.049,22.9305,96,7.5206,104.1322,83.0495,57.3794,7.3594,0.0954,0.3061
