id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1560,200,13.7159,96.2366,1,7.0164,0,0,27.1913,96.2366,0.0133,0
1560,400,21.2251,78.8051,2,3.7128,55.3624,93.2075,80.6788,78.2361,0.0617,0.5454
1560,600,36.2053,61.2443,2,1.6916,110.7248,91.2473,90.6066,60.661,0.0443,0.667
1560,800,14.6135,48.919,7,3.3475,102.305,88.829,86.5743,45.6211,0.0877,0.36870000000000003
1560,1000,10.9456,43.8592,13,4.007,102.8409,87.3449,85.4079,33.9632,0.0822,0.3987
1560,1200,10.2919,42.0983,19,4.0904,101.3224,87.625,78.6038,30.0066,0.0872,0.3582
1560,1400,7.7623,40.7286,33,5.2469,91.9708,87.656,75.5697,26.0599,0.0912,0.3236
1560,1600,7.4819,38.3414,42,5.1246,86.2954,87.6378,71.9742,22.7842,0.0973,0.2824
1560,1800,6.4097,37.1338,60,5.7934,86.7531,86.732,73.1011,19.6582,0.0937,0.3024
1560,2000,7.6097,36.3647,61,4.7787,88.3094,86.4883,72.9494,17.8102,0.0896,0.3302
