id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1564,200,14.2063,100,1,7.0391,0,0,0,100,0.0112,0
1564,400,53.8387,100,1,1.8574,0,0,0,100,0.0059,0
1564,600,118.9778,99.7969,1,0.8388,0,0,2.1448,99.7969,0.0043,0
1564,800,208.978,99.8457,1,0.4778,0,0,1.9004,99.8457,0.0033,0
1564,1000,323.6778,99.7761,1,0.3083,0,0,2.8025,99.7761,0.0028,0
1564,1200,463.0771,99.6699,1,0.2152,0,0,2.7517,99.6699,0.0023,0
1564,1400,312.8616,99.3719,2,0.3176,56.8217,99.589,3.8803,99.3591,0.0715,0.4913
1564,1600,271.1037,99.1635,3,0.3658,56.8217,99.5689,4.8843,99.1438,0.0945,0.3281
1564,1800,339.8482,98.334,3,0.2893,56.8217,99.3689,7.7548,98.3184,0.0946,0.3278
1564,2000,416.3954,97.807,3,0.2349,56.8217,99.088,11.3003,97.7943,0.0947,0.3271
