id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1577,200,13.757,100,1,7.269,0,0,0,100,0.0113,0
1577,400,54.492,100,1,1.8351,0,0,0,100,0.0059,0
1577,600,118.9891,100,1,0.8404,0,0,0,100,0.004,0
1577,800,103.6242,98.5138,2,0.9507,59.7766,99.5378,4.6884,98.4713,0.0686,0.4858
1577,1000,158.0715,97.3322,2,0.6157,59.7766,99.1665,9.6619,97.2772,0.0518,0.5694
1577,1200,61.8937,93.2872,7,1.5072,74.2868,98.6297,18.4697,93.0756,0.1009,0.2161
1577,1400,35.1127,88.9659,16,2.5337,79.0237,98.3332,21.3934,88.5132,0.1104,0.1541
1577,1600,25.3094,86.3221,28,3.4107,72.9928,97.5649,29.4895,84.9946,0.1033,0.2055
1577,1800,16.2718,83.26,53,5.1168,70.3741,96.8971,35.8385,81.1212,0.1083,0.1667
1577,2000,14.2759,81.5063,73,5.7094,71.357,96.1497,42.2168,78.1318,0.1081,0.1693
