id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1620,200,3.6909,52.3297,2,14.1779,67.4571,80.8989,196.0626,50.5376,0.0669,0.5742
1620,400,2.7998,41.7531,8,14.9129,56.9024,78.2918,164.3102,19.8869,0.1228,0.2855
1620,600,2.858,45.9367,19,16.073,62.5881,79.0106,170.2442,24.6364,0.1153,0.316
1620,800,3.1904,46.0696,30,14.4402,56.5658,78.7994,175.986,25.2616,0.1123,0.3283
1620,1000,3.0473,45.4445,48,14.9129,52.3301,78.3022,174.4399,24.2538,0.1176,0.2953
1620,1200,4.3452,47.0698,50,10.8326,55.8682,79.9693,166.6083,32.0407,0.122,0.2692
1620,1400,4.494,49.5316,69,11.0216,52.5187,82.1125,158.1077,35.5031,0.1207,0.2734
1620,1600,4.8767,50.1734,84,10.2884,53.2904,82.781,153.7873,37.0634,0.1224,0.2687
1620,1800,6.4973,52.2408,83,8.0403,56.1956,83.484,151.9527,36.4549,0.1226,0.2671
1620,2000,7.774,54.9541,90,7.069,55.4531,84.5372,150.3323,35.9001,0.1251,0.2533
