id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1622,200,1.1326,41.6357,5,36.7625,64.9116,75.7426,190.1251,36.4312,0.113,0.32
1622,400,4.3735,49.4757,6,11.3126,53.3513,77.1169,199.2582,43.8513,0.1147,0.3263
1622,600,4.6205,51.2511,13,11.0922,51.666,80.3641,176.3177,34.7282,0.0994,0.4031
1622,800,5.1789,52.4506,21,10.1278,53.346,80.9931,176.98,43.8917,0.1226,0.2759
1622,1000,7.1594,55.5294,25,7.7562,57.1302,82.8617,168.6825,47.1216,0.1251,0.2595
1622,1200,6.1046,55.4087,42,9.0766,55.8706,83.7984,160.3098,48.5358,0.1231,0.262
1622,1400,6.781,56.1423,52,8.2794,54.7081,84.2743,155.8085,48.4222,0.1215,0.271
1622,1600,7.3393,56.5588,63,7.7063,52.2499,84.9597,151.1946,49.2362,0.1235,0.2605
1622,1800,6.7721,55.1249,84,8.14,55.631100000000004,84.8715,149.4336,47.5796,0.1219,0.2671
1622,2000,6.9612,54.6892,100,7.8563,55.6748,84.6672,149.3436,45.8113,0.1191,0.2846
