id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1633,200,3.1924,45.509,2,14.2554,64.8116,93.2836,80.5713,44.9102,0.0805,0.4011
1633,400,9.3812,52.3438,3,5.5796,73.7602,83.8863,115.3629,52.0312,0.1013,0.2581
1633,600,8.065,54.1608,8,6.7155,70.248,84.527,114.8413,50.3526,0.089,0.3371
1633,800,16.8502,56.5901,7,3.3584,75.22,85.8763,112.5004,55.9855,0.1028,0.2371
1633,1000,14.256,57.1355,13,4.0078,74.9701,85.1783,117.0587,54.8304,0.0881,0.3254
1633,1200,14.4454,59.0244,19,4.086,70.8886,86.3374,109.1442,58.0488,0.1045,0.2185
1633,1400,16.5647,60.5312,23,3.6542,70.5616,86.8383,108.9555,58.6759,0.1012,0.2504
1633,1600,18.3504,62.555,28,3.4089,72.7021,87.4948,106.3227,60.0593,0.0991,0.2576
1633,1800,19.1305,64.5344,35,3.3734,72.3544,88.2431,103.9781,60.1781,0.1043,0.2273
1633,2000,19.2287,64.7159,43,3.3656,72.2613,88.3192,104.0385,59.5476,0.1049,0.218
