id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1637,200,11.8858,84.4311,1,7.1036,0,0,68.0603,84.4311,0.02,0
1637,400,46.5315,86.385,1,1.8565,0,0,60.3689,86.385,0.0125,0
1637,600,101.8298,85.4919,1,0.8396,0,0,64.3514,85.4919,0.0116,0
1637,800,28.7169,82.0554,6,2.8574,70.6259,93.0948,77.7067,81.1321,0.1029,0.2446
1637,1000,23.1431,78.6049,11,3.3965,81.6386,92.9848,76.828,77.6939,0.109,0.1829
1637,1200,23.4568,75.8771,15,3.2348,77.6787,92.2974,82.4594,74.75,0.102,0.2304
1637,1400,16.7749,71.87,27,4.2844,82.9516,91.6596,84.1716,70.2113,0.1034,0.2195
1637,1600,15.3907,71.1809,38,4.6249,80.8266,91.6624,81.1329,68.7699,0.1072,0.1982
1637,1800,17.512,72.6201,43,4.1469,83.7893,91.9891,78.6796,71.4901,0.109,0.1823
1637,2000,21.5147,74.1646,44,3.4472,78.0588,92.4128,76.8601,72.7513,0.1063,0.2013
