id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1660,200,0.6264,4.4872,1,7.1639,0,0,15.0006,4.4872,0.0669,0
1660,400,6.0399,22.1675,2,3.6702,486.9525,92.6829,23.6041,20.197,0.0391,0.6782
1660,600,7.4805,31.5234,5,4.214,210.3313,91.0692,37.3125,22.2474,0.0409,0.653
1660,800,9.1494,35.1828,8,3.8454,111.5351,91.3815,42.9917,20.7742,0.0326,0.7219
1660,1000,11.5251,35.443,10,3.0753,107.176,92.1725,40.6606,17.0336,0.0305,0.7409
1660,1200,11.1339,33.4807,14,3.0071,116.563,91.0882,43.6267,12.2429,0.0266,0.7768
1660,1400,11.4932,32.897,18,2.8623,110.6107,90.9874,42.5724,9.0637,0.0266,0.7786
1660,1600,11.2512,31.5067,23,2.8003,110.5504,91.0324,40.572,6.9398,0.032,0.7406
1660,1800,11.6755,30.3943,27,2.6032,107.5192,90.8907,39.5415,5.4956,0.0267,0.7796
1660,2000,11.7023,29.3232,32,2.5058,147.8648,90.716,38.6722,4.4633,0.0285,0.767
