id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1680,200,13.5854,95.0311,1,6.9951,0,0,27.0973,95.0311,0.0132,0
1680,400,49.0141,90.1961,1,1.8402,0,0,47.1581,90.1961,0.0096,0
1680,600,18.9574,63.5417,4,3.3518,78.0129,93.5719,69.6649,62.6488,0.0673,0.4473
1680,800,8.7502,46.108,11,5.2694,77.979,91.7697,63.5209,45.2999,0.11,0.1617
1680,1000,8.0469,39.7369,16,4.9381,81.8503,88.1686,68.6079,38.9422,0.1116,0.1466
1680,1200,7.7589,35.0124,21,4.5126,85.4248,87.221,64.9281,33.9439,0.1043,0.197
1680,1400,6.3072,31.0228,31,4.9186,102.5208,85.7309,63.591,29.0927,0.1018,0.2114
1680,1600,5.3211,26.5536,41,4.9902,94.2894,84.2127,60.6042,23.9706,0.0968,0.2502
1680,1800,4.6107,24.0068,54,5.2068,111.8187,83.0971,58.2685,20.839,0.0999,0.2256
1680,2000,3.7577,22.031,75,5.8628,105.8428,82.2294,55.5551,17.4151,0.1005,0.2244
