id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1698,200,14.3094,100,1,6.9884,0,0,0,100,0.0112,0
1698,400,53.5278,100,1,1.8682,0,0,0,100,0.0059,0
1698,600,117.7435,98.887200000000007,1,0.8399,0,0,3.2449,98.887200000000007,0.0042,0
1698,800,204.4832,97.5558,1,0.4771,0,0,6.806,97.5558,0.0037,0
1698,1000,151.3971,93.2282,2,0.6158,126.0926,99.1541,12.2619,93.065,0.0353,0.7081
1698,1200,137.8238,89.111,3,0.6466,98.072,98.6341,17.0381,88.6541,0.0546,0.5853
1698,1400,134.1949,85.2912,4,0.6356,90.9638,98.3664,21.5341,84.9263,0.0718,0.4492
1698,1600,93.7304,79.9483,7,0.853,112.6189,98.2292,22.0909,79.507,0.0792,0.3794
1698,1800,42.6976,74.0511,18,1.7343,128.8779,97.8159,25.2281,73.2936,0.0936,0.271
1698,2000,38.1768,71.7209,24,1.8787,108.4379,97.0694,29.1035,67.7591,0.0813,0.3621
