id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1732,200,4.1221,86.9565,3,21.0954,59.4406,96.0938,54.3368,81.9876,0.0685,0.4613
1732,400,11.954,66.0163,3,5.5225,81.6579,93.904,61.2759,59.187,0.0409,0.669
1732,600,10.9024,64.1425,7,5.8833,71.5055,93.2894,64.1966,49.6659,0.0665,0.4816
1732,800,10.4149,54.7027,11,5.2524,84.37,92.265,64.9951,37.2838,0.0632,0.497
1732,1000,9.4773,49.5922,17,5.2328,94.2569,90.9601,65.4095,31.0495,0.0833,0.3497
1732,1200,6.0636,44.3979,34,7.3221,105.5198,90.1553,63.5562,25.0904,0.0976,0.2497
1732,1400,6.3985,41.5675,41,6.4964,93.0371,89.0242,63.7622,20.8258,0.0931,0.2778
1732,1600,5.8108,39.6427,56,6.8222,95.9917,88.7938,62.2758,18.2395,0.0958,0.2566
1732,1800,4.9878,37.0484,77,7.4279,101.3014,89.2457,56.6804,16.2918,0.0988,0.233
1732,2000,4.2483,34.5872,104,8.1414,100.5905,89.1097,53.4648,15.1016,0.1023,0.2101
