id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1760,200,14.3567,100,1,6.9654,0,0,0,100,0.0113,0
1760,400,53.7193,100,1,1.8615,0,0,0,100,0.006,0
1760,600,119.1133,100,1,0.8395,0,0,0,100,0.0041,0
1760,800,208.7243,100,1,0.4791,0,0,0,100,0.0031,0
1760,1000,323.7357,100,1,0.3089,0,0,0,100,0.0025,0
1760,1200,464.4629,100,1,0.2153,0,0,0,100,0.0021,0
1760,1400,629.3282,100,1,0.1589,0,0,0,100,0.0018,0
1760,1600,820.3039,100,1,0.1219,0,0,0,100,0.0016,0
1760,1800,1036.7587,100,1,0.0965,0,0,0,100,0.0014,0
1760,2000,1277.0362,100,1,0.0783,0,0,0,100,0.0013,0
