id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1799,200,4.733,68.1818,2,14.4057,112.3444,92.6606,76.874,66.4773,0.0578,0.5534
1799,400,3.3229,50,8,15.0469,93.7662,92.4647,63.3913,47.6261,0.1063,0.2291
1799,600,4.2961,47.4849,13,11.0531,70.9438,91.2628,64.9531,40.3756,0.097,0.2927
1799,800,5.4754,44.5788,17,8.1416,74.7308,91.5757,61.202,34.5674,0.1076,0.2226
1799,1000,5.2391,38.5956,24,7.3668,75.1039,89.6718,61.6403,30.1211,0.1045,0.238
1799,1200,4.6203,34.7105,35,7.5126,78.7385,88.4759,61.6724,26.8371,0.1025,0.2431
1799,1400,4.3471,31.6954,46,7.2911,80.118,87.0396,62.1459,23.6934,0.0995,0.2617
1799,1600,3.9401,28.3066,59,7.1842,82.3148,86.3786,58.72,21.045,0.0984,0.2639
1799,1800,3.4409,26.2432,79,7.6269,95.0944,84.9129,59.3278,18.125,0.1,0.2597
1799,2000,3.5825,24.9954,89,6.977,85.9913,83.723,59.9762,14.9403,0.094,0.3009
