id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1807,200,13.3114,97.4522,1,7.321,0,0,21.5941,97.4522,0.0129,0
1807,400,50.9834,94.5161,1,1.8539,0,0,40.4645,94.5161,0.0101,0
1807,600,111.6241,93.5131,1,0.8378,0,0,51.8919,93.5131,0.0095,0
1807,800,98.9217,93.8893,2,0.9491,58.9923,96.0018,48.0125,93.8068,0.0549,0.5509
1807,1000,300.7673,93.3567,1,0.3104,0,0,52.3693,93.3567,0.0081,0
1807,1200,213.5474,91.9805,2,0.4307,65.9554,95.1845,59.776,91.9618,0.072,0.4668
1807,1400,143.119,90.7586,4,0.6341,58.9923,94.391,67.0105,90.6069,0.0785,0.3883
1807,1600,248.4789,90.6667,3,0.3649,58.9923,94.3304,68.3077,90.6455,0.0934,0.3096
1807,1800,93.8495,90.5329,10,0.9647,59.6887,94.2853,68.7444,90.3651,0.1094,0.173
1807,2000,144.8373,90.8582,8,0.6273,58.9923,94.3874,67.9072,90.79,0.1099,0.172
