id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1827,200,14.6264,100,1,6.8369,0,0,0,100,0.0113,0
1827,400,54.6112,100,1,1.8311,0,0,0,100,0.0059,0
1827,600,118.1366,100,1,0.8465,0,0,0,100,0.004,0
1827,800,208.7513,100,1,0.479,0,0,0,100,0.003,0
1827,1000,324.2916,99.9733,1,0.3083,0,0,0.3628,99.9733,0.0025,0
1827,1200,465.7094,99.9814,1,0.2147,0,0,0.2526,99.9814,0.0021,0
1827,1400,628.937,99.6572,1,0.1585,0,0,2.0045,99.6572,0.002,0
1827,1600,817.0036,99.6096,1,0.1219,0,0,2.2955,99.6096,0.0018,0
1827,1800,513.3102,99.1226,2,0.1931,65.7826,99.5661,4.8288,99.1142,0.0689,0.4924
1827,2000,1258.6529,98.4831,1,0.0782,0,0,7.4581,98.4831,0.002,0
