id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1911,200,1.5258,42.4419,4,27.817,73.9918,85.1562,84.4521,34.8837,0.081,0.3812
1911,400,2.7693,41.2773,8,14.9051,69.8051,87.5252,75.4193,28.0374,0.0816,0.3726
1911,600,4.4226,37.2273,10,8.4175,70.1713,87.8458,70.0951,24.912,0.0847,0.3616
1911,800,3.9146,31.7891,17,8.1207,105.5538,85.5375,69.336,20.5671,0.0905,0.3194
1911,1000,4.0091,27.2047,22,6.7857,93.7442,83.1785,70.5437,15.6266,0.0951,0.2878
1911,1200,2.9616,21.029,33,7.1006,114.88720000000001,81.71,59.0417,11.297,0.099,0.2637
1911,1400,2.2038,17.4824,50,7.933,109.9161,80.1014,51.6552,8.33,0.1051,0.2155
1911,1600,2.0214,16.4852,67,8.1552,103.4194,78.4742,51.0313,6.3906,0.102,0.2366
1911,1800,2.2505,16.0671,74,7.1394,104.6334,79.019,48.4549,5.0653,0.1,0.2491
1911,2000,2.4775,15.899,82,6.4173,105.7224,79.7311,46.7275,4.1089,0.1012,0.2424
