id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1938,200,0.0804,25.5289,42,317.3571,22.6834,55.3285,482.5172,5.2186,0.3078,0.2225
1938,400,0.0792,21.1486,138,267.0421,25.0595,57.5891,375.5718,7.2241,0.3281,0.179
1938,600,0.0674,17.11,292,253.7023,24.5955,53.9729,330.2926,4.8167,0.326,0.184
1938,800,0.0644,16.4392,520,255.2025,24.3044,52.9612,322.6429,2.7208,0.3277,0.1804
1938,1000,0.0594,14.9552,800,251.8485,24.4298,49.7459,312.2825,1.7453,0.3288,0.1782
1938,1200,0.0584,14.0209,1096,240.0486,24.3206,48.7456,297.98630000000003,1.2142,0.3294,0.1775
1938,1400,0.0592,14.2806,1496,241.0269,24.0904,48.9866,300.8851,0.8932,0.3306,0.1747
1938,1600,0.0644,15.7196,1975,243.9117,23.7321,51.4755,315.8741,1.6932,0.3314,0.1736
1938,1800,0.0653,16.508,2591,252.9727,23.3521,50.8453,336.1491,2.002,0.3315,0.1732
1938,2000,0.0672,17.1941,3233,255.8892,23.1899,50.8476,349.6636,2.3048,0.3303,0.1762
