id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1949,200,0.0357,10.5824,39,296.7817,27.3917,37.7289,274.2166,1.1364,0.3273,0.1779
1949,400,0.0396,15.0181,196,379.0718,23.6546,36.3014,390.8764,1.2094,0.3404,0.1521
1949,600,0.0337,14.8199,506,439.7775,22.9359,34.6413,399.4184,0.5516,0.3469,0.1391
1949,800,0.032,14.6111,931,457.1829,22.7463,33.3706,401.8242,0.3117,0.3428,0.1464
1949,1000,0.0337,15.3527,1446,455.2429,22.4774,33.5856,420.4565,0.2027,0.3416,0.1501
1949,1200,0.0344,15.6499,2080,455.3247,22.2559,33.4654,429.9187,0.1553,0.3432,0.148
1949,1400,0.0362,16.2646,2787,449.0861,22.1815,34.3385,441.1378,0.1504,0.3406,0.1536
1949,1600,0.0367,16.513,3643,449.9195,22.1767,34.4819,447.6149,0.1637,0.3413,0.1525
1949,1800,0.0369,16.514,4590,448.1372,22.1402,34.448,447.5178,0.1294,0.3413,0.1522
1949,2000,0.0377,16.6427,5580,441.6621,22.1429,34.8191,448.4578,0.1115,0.3415,0.1519
