id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
1987,200,13.2855,100,1,7.527,0,0,0,100,0.0122,0
1987,400,51.5952,100,1,1.9382,0,0,0,100,0.0062,0
1987,600,100.1063,86.8445,1,0.8675,0,0,15.3807,86.8445,0.0049,0
1987,800,51.5256,75.8475,3,1.472,39.6514,99.4709,23.3261,75.8288,0.2299,0.4024
1987,1000,24.5286,69.4791,9,2.8326,33.3007,99.1497,28.3293,69.0819,0.2774,0.3019
1987,1200,21.7198,66.6188,14,3.0672,26.9262,98.8278,34.7237,65.4088,0.2577,0.3515
1987,1400,26.7728,64.6783,15,2.4158,53.8527,98.802,33.9826,63.2722,0.2339,0.4089
1987,1600,28.703,63.8175,18,2.2234,44.1833,98.8305,32.2598,61.9936,0.2443,0.3845
1987,1800,16.0604,61.1448,39,3.8072,35.3413,98.5771,38.457,58.5899,0.2424,0.3829
1987,2000,14.6107,58.9845,51,4.0371,34.4877,98.3883,41.1624,54.6404,0.253,0.3507
