id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2010,200,0.6368,48.2734,10,75.8115,20.917,79.6124,418.0003,45.7554,0.3166,0.214
2010,400,0.6962,52.5919,39,75.5467,24.2263,86.3758,285.8833,45.1654,0.3284,0.1765
2010,600,1.6795,67.1146,46,39.962,23.2791,93.3917,173.9952,64.9794,0.3229,0.187
2010,800,3.334,75.1884,46,22.5523,23.2791,96.3795,108.7956,73.7322,0.3222,0.187
2010,1000,4.8959,78.5832,51,16.0508,22.952,97.1797,88.9096,77.6304,0.3288,0.1721
2010,1200,6.2599,80.8761,59,12.9196,22.8615,97.3775,84.025,80.1903,0.3382,0.1545
2010,1400,7.5854,84.323,69,11.1165,22.471800000000002,97.5437,82.5995,83.635,0.3329,0.1631
2010,1600,7.5882,86.2125,92,11.3614,22.8971,97.7406,77.7864,85.6043,0.3354,0.1578
2010,1800,9.0344,88.2253,100,9.7655,22.69,97.8876,74.5534,87.8231,0.3427,0.1418
2010,2000,10.3806,89.556,109,8.6272,22.5686,97.8804,76.5861,89.2165,0.3452,0.1361
