id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2178,200,2.1073,64.1304,4,30.432,19.5189,95.0877,141.0748,63.913,0.3154,0.2279
2178,400,2.7222,52.7306,10,19.3709,20.7252,95.5429,103.032,50.2214,0.3204,0.2137
2178,600,3.8166,56.3534,17,14.7654,23.9592,95.9578,92.4794,49.9007,0.3375,0.1682
2178,800,6.744,62.8439,19,9.3185,25.0328,96.8659,77.4458,52.7491,0.3172,0.2164
2178,1000,8.1365,69.2227,27,8.5076,24.7829,97.6193,64.9785,69.0756,0.369,0.094
2178,1200,8.6281,73.7019,39,8.542,24.2638,98.0294,57.223,72.9989,0.3397,0.15
2178,1400,8.655,76.7417,55,8.8668,26.7988,98.2976,52.0781,76.5098,0.3491,0.1282
2178,1600,9.5723,78.0032,66,8.1488,28.0148,98.4275,49.7895,77.7809,0.3445,0.135
2178,1800,10.1644,78.4264,79,7.7158,29.5834,98.5402,46.3249,77.8347,0.3477,0.1308
2178,2000,10.882,80.0918,93,7.36,27.8145,98.5976,44.2719,79.9071,0.353,0.1181
