id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2182,200,3.1463,71.3977,3,22.6925,39.0378,97.655,69.3926,71.2536,0.2804,0.3132
2182,400,3.0892,72.0074,12,23.3096,24.717,97.454,79.8107,70.8788,0.2708,0.304
2182,600,1.7508,68.3523,45,39.0396,27.8675,95.9051,120.2281,66.3279,0.3148,0.2
2182,800,1.9135,64.8333,69,33.8821,27.6057,95.6272,118.3227,63.36,0.3227,0.1796
2182,1000,2.029,63.8579,100,31.472,29.0169,95.6941,114.5972,61.7326,0.3237,0.1785
2182,1200,1.9925,60.6866,139,30.4574,27.5843,95.7259,109.2973,58.0987,0.3134,0.2022
2182,1400,2.0817,59.0347,176,28.3584,29.6465,95.8349,102.4491,54.7652,0.3168,0.1974
2182,1600,2.3258,59.759,208,25.6939,30.3045,95.841,102.5215,53.7103,0.3182,0.1956
2182,1800,2.7052,61.2795,232,22.6527,30.3692,96.044,99.5994,53.435,0.321,0.1882
2182,2000,2.9122,62.2421,270,21.373,29.3657,96.1503,97.7894,52.5635,0.3167,0.1973
