id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2198,200,13.2437,100,1,7.5508,0,0,0,100,0.0121,0
2198,400,51.1406,98.781,1,1.9316,0,0,11.7005,98.781,0.0068,0
2198,600,25.2498,87.6208,4,3.4702,32.8486,99.2209,34.5462,87.5952,0.3038,0.2451
2198,800,5.6809,66.8601,24,11.7692,49.1973,98.3951,56.6348,66.391,0.3001,0.2322
2198,1000,2.9535,53.0088,57,17.9475,41.9498,96.9925,73.9482,51.0557,0.2693,0.2955
2198,1200,2.558,42.5752,76,16.6442,43.348,96.3599,70.441,40.3723,0.2663,0.3033
2198,1400,1.8744,37.4432,124,19.9765,41.0887,95.4025,73.6067,34.0625,0.277,0.2792
2198,1600,1.6903,35.0529,168,20.7373,42.6643,94.8039,77.714,31.3768,0.2736,0.2849
2198,1800,1.3302,32.7277,252,24.604,38.3216,93.4393,90.1201,27.4968,0.2681,0.2986
2198,2000,1.142,30.6312,339,26.8234,37.1517,92.5791,93.6763,23.7282,0.2686,0.2983
