id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2203,200,13.5342,97.4359,1,7.1992,0,0,21.4823,97.4359,0.0132,0
2203,400,53.8696,99.1803,1,1.8411,0,0,7.6914,99.1803,0.0068,0
2203,600,119.1364,99.5536,1,0.8356,0,0,4.4883,99.5536,0.0045,0
2203,800,206.7524,99.4007,1,0.4808,0,0,5.4515,99.4007,0.0036,0
2203,1000,321.882,99.0954,1,0.3079,0,0,6.155,99.0954,0.0031,0
2203,1200,462.121,99.1404,1,0.2145,0,0,6.4016,99.1404,0.0027,0
2203,1400,625.4216,99.139,1,0.1585,0,0,6.7167,99.139,0.0025,0
2203,1600,813.4755,99.1642,1,0.1219,0,0,6.4384,99.1642,0.0022,0
2203,1800,1030.2895,99.2112,1,0.0963,0,0,6.0916,99.2112,0.002,0
2203,2000,1267.7609,99.2195,1,0.0783,0,0,6.1887,99.2195,0.0019,0
