id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2216,200,10.2282,70.4142,1,6.8843,0,0,82.7506,70.4142,0.0201,0
2216,400,6.6182,48.7342,4,7.3636,86.6266,90.3448,78.797,47.7848,0.0871,0.3096
2216,600,6.962,47.0247,8,6.7544,79.2281,86.506,86.8824,46.0813,0.1093,0.1792
2216,800,5.5767,45.3723,17,8.136,74.9331,86.489,85.5892,41.0119,0.1026,0.2198
2216,1000,7.5035,46.3376,20,6.1754,70.8421,87.0892,82.5578,43.949,0.1016,0.2276
2216,1200,10.3141,48.8075,22,4.7321,75.0763,88.4875,76.4923,46.0159,0.1115,0.1616
2216,1400,11.9042,52.7763,28,4.4334,73.6533,89.4509,74.2255,51.0751,0.1036,0.2122
2216,1600,18.4829,56.2343,25,3.0425,72.2655,90.5233,72.0008,54.5816,0.1094,0.1718
2216,1800,23.6035,59.2826,26,2.5116,88.9209,91.5881,66.5535,58.9422,0.1194,0.1079
2216,2000,26.9561,61.2417,29,2.2719,83.9337,92.444,62.4034,60.7501,0.1144,0.1402
