id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2223,200,14.6977,100,1,6.8038,0,0,0,100,0.0112,0
2223,400,55.0947,100,1,1.8151,0,0,0,100,0.006,0
2223,600,115.0886,97.8801,1,0.8505,0,0,9.7242,97.8801,0.0046,0
2223,800,92.4405,88.921,2,0.9619,87.9523,97.9092,27.9192,88.8797,0.0711,0.4769
2223,1000,43.6202,80.7264,6,1.8507,71.8999,96.0361,47.3842,79.6394,0.0862,0.3288
2223,1200,22.9662,74.0713,15,3.2252,80.93,94.0423,63.1002,73.0549,0.1019,0.2242
2223,1400,14.5143,68.9533,30,4.7507,74.8668,92.712,72.1465,67.9325,0.1123,0.1563
2223,1600,14.4081,66.6388,38,4.6251,74.6292,91.6932,76.6828,65.3102,0.1105,0.1697
2223,1800,14.7182,65.3856,46,4.4425,73.3982,91.1338,79.4763,63.7337,0.1086,0.1788
2223,2000,14.2965,63.8107,57,4.4634,75.1683,91.0375,79.385,62.3099,0.11,0.1695
