id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2228,200,4.8338,35.0649,1,7.254,0,0,56.4291,35.0649,0.0272,0
2228,400,4.6369,42.5987,5,9.1869,83.4402,80.4124,106.647,27.1382,0.0689,0.4652
2228,600,7.2508,48.4305,8,6.6794,76.5636,84.9799,96.673,45.3662,0.0959,0.2696
2228,800,6.1345,50.086,17,8.1647,73.9449,83.5471,112.513,42.3044,0.0974,0.2443
2228,1000,4.3415,45.4145,34,10.4605,84.3221,82.245,109.9999,41.1732,0.1039,0.1848
2228,1200,4.8969,46.3152,44,9.458,73.0575,81.421,114.4769,39.2342,0.1016,0.2035
2228,1400,5.5848,47.8415,54,8.5664,71.7074,82.7065,110.3988,37.887,0.101,0.2055
2228,1600,6.059,49.417,67,8.156,72.3502,83.559,108.9347,39.9368,0.1034,0.19
2228,1800,6.0334,49.4135,85,8.1901,71.1371,83.7874,106.7219,39.6929,0.1034,0.1935
2228,2000,6.8281,51.8391,97,7.592,70.4399,84.1026,109.1945,39.5782,0.1019,0.2044
