id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2229,200,1.9917,55.625,4,27.9281,67.3181,86.1635,123.2488,52.5,0.0957,0.2649
2229,400,2.2916,42.4544,10,18.5261,100.256,81.25,113.0742,30.1824,0.1007,0.2195
2229,600,3.2162,37.8195,14,11.7592,96.6527,79.0843,109.3171,20.2256,0.0879,0.3025
2229,800,4.5832,43.7607,20,9.5481,82.1208,79.1331,119.4101,16.1538,0.0882,0.30620000000000003
2229,1000,6.6164,46.8578,23,7.0821,81.0334,81.6099,116.079,20.9482,0.0939,0.2589
2229,1200,5.2654,44.1834,39,8.3913,81.8948,80.8549,112.849,30.47,0.1046,0.1926
2229,1400,5.6223,46.392,52,8.2515,71.6076,81.6581,114.3232,30.9375,0.1013,0.209
2229,1600,5.1105,47.918,77,9.3763,73.7501,82.4691,111.8485,31.8509,0.1008,0.2111
2229,1800,5.0576,47.8524,98,9.4614,72.4732,82.9474,109.2738,31.4752,0.0993,0.2222
2229,2000,5.5758,48.4004,111,8.6805,70.2398,82.9881,109.7813,31.2216,0.1014,0.2109
