id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2234,200,14.3206,100,1,6.9829,0,0,0,100,0.0114,0
2234,400,24.8333,91.5966,2,3.6885,57.0499,98.2993,32.937,91.4766,0.0825,0.4706
2234,600,18.8902,79.9009,5,4.2298,76.2561,96.0354,50.9362,78.9097,0.0812,0.4157
2234,800,14.3502,75.9474,11,5.2924,56.2336,93.8329,75.002,71.5315,0.0786,0.4382
2234,1000,15.718,73.0979,15,4.6506,56.0348,91.8293,93.4193,63.9354,0.0795,0.4442
2234,1200,14.8177,70.3568,22,4.7482,59.3199,90.156,109.3032,66.2967,0.0984,0.3257
2234,1400,11.9447,68.3568,36,5.7228,57.0852,89.0566,117.5768,64.5281,0.1088,0.2603
2234,1600,11.7055,65.6664,46,5.6099,61.622,88.3877,120.8177,62.372,0.1093,0.2577
2234,1800,10.1628,62.8704,64,6.1864,60.9663,87.9448,120.5715,59.1267,0.1137,0.2321
2234,2000,10.5672,61.3848,74,5.809,62.9476,87.4821,121.4303,56.2136,0.1128,0.2394
