id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2235,200,13.5395,97.1963,1,7.1787,0,0,23.81,97.1963,0.0128,0
2235,400,11.0659,82.3245,4,7.4395,54.0384,94.4147,77.8205,80.3874,0.0874,0.3946
2235,600,9.9105,67.1444,8,6.7751,59.3224,90.9975,99.608,66.2624,0.1225,0.2072
2235,800,10.5235,60.8723,12,5.7844,77.7294,88.1825,117.8186,59.8996,0.1276,0.1683
2235,1000,10.1929,53.6477,17,5.2632,71.707,85.6897,122.5929,52.1967,0.11,0.2506
2235,1200,10.1302,52.5612,24,5.1886,74.2701,85.7493,118.2579,49.8733,0.1095,0.2611
2235,1400,8.105,52.918,41,6.5291,70.5209,85.7554,118.556,50.3162,0.1149,0.2296
2235,1600,8.2374,53.3063,53,6.4712,71.7192,85.6,119.8715,48.2833,0.113,0.2427
2235,1800,8.7887,54.387,64,6.1883,69.7842,85.9499,119.9187,51.1392,0.1127,0.2394
2235,2000,8.2141,54.7776,85,6.6688,69.3426,86.3114,118.0393,51.1363,0.113,0.2379
