id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2242,200,13.7348,96.347,1,7.0148,0,0,28.6356,96.347,0.0141,0
2242,400,10.9195,81.2349,4,7.4395,52.5327,94.031,81.1421,79.9031,0.0856,0.4194
2242,600,8.8283,59.8126,8,6.7751,59.3036,90.3992,101.7687,58.3793,0.1058,0.2862
2242,800,7.1789,48.3558,14,6.7358,71.3597,88.8667,91.9419,45.4118,0.0995,0.3253
2242,1000,6.7286,39.6367,19,5.8908,64.8266,87.5488,84.3226,35.7013,0.0953,0.3516
2242,1200,5.7403,33.4551,27,5.8281,60.5147,87.1784,73.3563,29.2539,0.102,0.3095
2242,1400,5.554,27.3611,31,4.9264,63.2752,86.4083,64.4668,23.2026,0.1045,0.2943
2242,1600,4.2946,22.0218,42,5.1277,61.3232,85.5224,55.2274,18.3263,0.1098,0.2635
2242,1800,3.6491,17.997,51,4.9319,72.5909,84.566,47.5689,14.6355,0.1107,0.2538
2242,2000,2.7523,15.3359,71,5.5721,64.8632,83.1354,43.9104,11.8774,0.1126,0.2447
