id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2268,200,13.9952,100,1,7.1453,0,0,0,100,0.0113,0
2268,400,53.1816,99.0303,1,1.8621,0,0,5.226,99.0303,0.0063,0
2268,600,114.9555,97.3539,1,0.8469,0,0,12.7481,97.3539,0.0053,0
2268,800,66.5475,96.1141,3,1.4443,53.0346,98.4725,20.8811,95.4873,0.0745,0.5091
2268,1000,51.1094,94.9416,6,1.8576,55.5534,98.3305,23.0652,94.2563,0.1023,0.3293
2268,1200,48.2344,93.7579,9,1.9438,54.7138,98.4515,22.1515,93.1956,0.1144,0.2478
2268,1400,38.3923,91.5649,15,2.385,57.0424,98.3376,23.65,91.0267,0.1212,0.1939
2268,1600,30.0353,87.9936,24,2.9297,56.9813,97.6433,33.916,87.1673,0.1161,0.2201
2268,1800,21.7527,84.138,40,3.8679,60.7344,96.9549,41.8175,83.1686,0.1174,0.2066
2268,2000,15.6115,79.6373,65,5.1012,66.1868,95.939,52.32,78.3244,0.1187,0.2014
