id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2301,200,6.7382,46.1538,1,6.8495,0,0,42.2772,46.1538,0.0218,0
2301,400,8.2644,46.2903,3,5.6012,166.574,95.1852,41.157,45.3226,0.0723,0.443
2301,600,6.0126,25.2174,5,4.1941,150.3458,92.7052,42.1591,24.1304,0.1006,0.274
2301,800,4.0926,15.7066,8,3.8378,115.5681,89.9861,28.6228,13.8002,0.085,0.3647
2301,1000,4.5018,12.4933,9,2.7752,119.056,88.255,26.0113,8.8705,0.0735,0.4369
2301,1200,3.522,9.8348,13,2.7924,229.5629,85.3899,23.2966,6.1793,0.0724,0.4369
2301,1400,3.501,10.5451,19,3.012,170.1517,82.0755,26.8383,4.5604,0.0758,0.4175
2301,1600,3.4123,12.4658,30,3.6532,135.5317,82.399,31.031,3.5031,0.0712,0.4404
2301,1800,3.8455,12.9985,35,3.3802,128.5271,82.9108,31.8772,4.0631,0.0711,0.4452
2301,2000,3.8381,12.6175,42,3.2874,134.9209,83.8409,29.9534,3.4553,0.0784,0.3998
