id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2312,200,14.0812,100,1,7.1017,0,0,0,100,0.0113,0
2312,400,36.9739,68.0445,1,1.8403,0,0,33.5363,68.0445,0.0087,0
2312,600,59.6075,50.2915,1,0.8437,0,0,20.8305,50.2915,0.0069,0
2312,800,44.1441,42.214,2,0.9563,500.5241,98.7374,15.1776,42.1727,0.0709,0.4768
2312,1000,29.3718,36.2184,4,1.2331,370.5359,98.3371,15.7657,35.6591,0.0825,0.4066
2312,1200,20.4122,30.7664,7,1.5073,269.7372,97.7371,16.3281,29.7991,0.0902,0.314
2312,1400,17.3553,27.5394,10,1.5868,301.8723,96.5377,17.2098,25.072,0.0771,0.405
2312,1600,18.3214,26.8092,12,1.4633,260.2566,95.7707,18.6369,21.4368,0.0808,0.3884
2312,1800,19.5668,26.4272,14,1.3506,238.5972,95.1357,20.6708,18.5849,0.0771,0.4103
2312,2000,20.3281,25.465,16,1.2527,232.6534,94.8967,20.7337,16.3341,0.0773,0.411
