id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2364,200,13.934,100,1,7.1767,0,0,0,100,0.0111,0
2364,400,53.1622,97.8758,1,1.8411,0,0,11.5181,97.8758,0.0064,0
2364,600,98.958,82.1665,1,0.8303,0,0,41.062,82.1665,0.0076,0
2364,800,25.5072,61.4365,5,2.4086,83.9085,96.3545,44.201,61.2227,0.109,0.2036
2364,1000,21.4018,46.1454,7,2.1561,152.5457,95.7182,37.6229,45.8447,0.1067,0.2069
2364,1200,12.985,36.2355,13,2.7906,125.9436,95.4521,30.8235,35.9116,0.1194,0.1115
2364,1400,10.591,30.228,18,2.8541,119.4669,94.0281,29.9486,29.2429,0.1059,0.1856
2364,1600,9.9725,26.7648,22,2.6839,117.649,92.1346,32.891,25.4872,0.1144,0.1371
2364,1800,6.9774,22.8559,34,3.2757,150.404,90.7478,32.5767,20.9748,0.1143,0.1378
2364,2000,5.3198,20.7865,50,3.9074,108.2446,88.9871,32.8965,17.5891,0.1089,0.171
