id,buffer,area_mn,pland,np,pd,enn_mn,ai,ed,lpi,para_mn,contig_mn
2369,200,14.4826,100,1,6.9048,0,0,0,100,0.0113,0
2369,400,18.0821,66.8232,2,3.6955,65.0744,96.4286,44.0948,66.6667,0.0743,0.4546
2369,600,74.699700000000007,62.9101,1,0.8422,0,0,45.3418,62.9101,0.0109,0
2369,800,36.5312,52.4311,3,1.4352,67.905,94.8331,48.8694,51.9449,0.068,0.4719
2369,1000,20.6652,38.1648,6,1.8468,102.8815,93.7917,42.9969,36.5746,0.0632,0.5088
2369,1200,9.209,29.79,15,3.2349,114.0027,91.6064,41.4223,25.6621,0.0742,0.4138
2369,1400,6.1589,24.4453,25,3.9691,110.1727,89.5493,41.4909,18.892,0.0889,0.3225
2369,1600,4.5029,19.7381,36,4.3834,104.5656,88.0214,36.9591,14.489,0.0907,0.3057
2369,1800,4.1745,18.1135,45,4.3391,120.9062,87.7448,33.2533,11.4741,0.0935,0.2898
2369,2000,4.1931,17.3913,53,4.1476,133.9398,87.4247,32.4532,9.312,0.0927,0.2937
